pdf_path,chapter_no,title
../Books/class-10/Mathematics/ch01.pdf,1,Real Numbers
../Books/class-10/Mathematics/ch02.pdf,2,Polynomials
../Books/class-10/Mathematics/ch03.pdf,3,Pair of Linear Equations in Two Variables
../Books/class-10/Mathematics/ch04.pdf,4,Quadratic Equations
../Books/class-10/Mathematics/ch05.pdf,5,Arithmetic Progressions
../Books/class-10/Mathematics/ch06.pdf,6,Triangles
../Books/class-10/Mathematics/ch07.pdf,7,Coordinate Geometry
../Books/class-10/Mathematics/ch08.pdf,8,Introduction to Trigonometry
../Books/class-10/Mathematics/ch09.pdf,9,Some Applications of Trigonometry
../Books/class-10/Mathematics/ch10.pdf,10,Circles
../Books/class-10/Mathematics/ch11.pdf,11,Areas Related to Circles
../Books/class-10/Mathematics/ch12.pdf,12,Surface Areas and Volumes
../Books/class-10/Mathematics/ch13.pdf,13,Statistics
../Books/class-10/Mathematics/ch14.pdf,14,Probability
