pdf_path,chapter_no,title
../Books/class-9/Science/ch01.pdf,1,Exploration: Entering the World of Secondary Science
../Books/class-9/Science/ch02.pdf,2,Cell: The Building Block of Life
../Books/class-9/Science/ch03.pdf,3,Tissues in Action
../Books/class-9/Science/ch04.pdf,4,Describing Motion Around Us
../Books/class-9/Science/ch05.pdf,5,Exploring Mixtures and their Separation
../Books/class-9/Science/ch06.pdf,6,How Forces Affect Motion
../Books/class-9/Science/ch07.pdf,7,"Work, Energy, and Simple Machines"
../Books/class-9/Science/ch08.pdf,8,Journey Inside the Atom
../Books/class-9/Science/ch09.pdf,9,Atomic Foundations of Matter
../Books/class-9/Science/ch10.pdf,10,Sound Waves: Characteristics and Applications
../Books/class-9/Science/ch11.pdf,11,Reproduction: How Life Continues
../Books/class-9/Science/ch12.pdf,12,Patterns in Life: Diversity and Classification
../Books/class-9/Science/ch13.pdf,13,"Earth as a System: Energy, Matter, and Life"
